x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.1045358,53.4198044,,0,0,37,0,0,0,0
-2.1045734,53.4350848,,0,0,21,0,0,0,0
-2.1046044,53.4476687,,0,0,76,0,0,0,0
-2.1046066,53.4485675,,0,0,78,0,0,0,0
-2.1046177,53.4530618,,0,0,63,0,0,0,0
-2.1046243,53.4557583,,0,0,77,0,0,0,0
-2.1046288,53.457556,,0,0,36,0,0,0,0
-2.1046953,53.4845213,,0,0,32,0,0,0,0
-2.1047086,53.4899143,,0,0,109,0,0,0,0
-2.1047219,53.4953074,,0,0,55,0,0,0,0
-2.1047374,53.5015993,,0,0,39,0,0,0,0
-2.1047485,53.5060935,,0,0,13,0,0,0,0
-2.1047619,53.5114865,,0,0,13,0,0,0,0
-2.1047752,53.5168795,,0,0,82,0,0,0,0
-2.1048264,53.5375527,,0,0,136,0,0,0,0
-2.1048375,53.5420469,,0,0,9,0,0,0,0
-2.1048397,53.5429457,,0,0,6,0,0,0,0
-2.1048598,53.5510352,,0,0,40,0,0,0,0
-2.1048843,53.5609223,,0,0,14,0,0,0,0
-2.2655402,53.4204534,,874336,513788111,22,2,1,4,0
-2.2655963,53.4294419,,570763,145927774,38,2,3,2,1
-2.2656636,53.4402279,,263808,2147483647,58,0,1,0,2
-2.2656917,53.4447221,,195963,1536062924,59,2,2,1,4
-2.2657816,53.4591036,,85929,295356243,166,3,1,2,3
-2.2658602,53.4716873,,44452,79040422,125,1,0,0,1
-2.2659897,53.4923604,,11850,5617140,62,0,0,0,0
-2.2661361,53.51573,,1064,45332,18,0,0,0,0
-2.26617,53.521123,,506,10262,122,0,0,0,0
-2.2663223,53.5453913,,6,1,39,0,0,0,0
-2.106036,53.4180053,,0,0,58,0,0,0,0
-2.1061011,53.444072,,0,0,81,0,0,0,0
-2.1061033,53.4449708,,0,0,82,0,0,0,0
-2.1061977,53.4827223,,0,0,21,0,0,0,0
-2.1062135,53.4890142,,0,0,156,0,0,0,0
-2.1062292,53.4953061,,0,0,74,0,0,0,0
-2.1062405,53.4998002,,0,0,12,0,0,0,0
-2.1062856,53.517777,,0,0,71,0,0,0,0
-2.1062901,53.5195747,,0,0,73,0,0,0,0
-2.1063104,53.5276642,,0,0,3,0,0,0,0
-2.1063601,53.5474385,,0,0,25,0,0,0,0
-2.1063691,53.5510339,,0,0,131,0,0,0,0
-2.106403,53.5645163,,0,0,97,0,0,0,0
-2.1064166,53.5699093,,0,0,81,0,0,0,0
-2.1048999,53.5672141,,0,0,14,0,0,0,0
-2.2639074,53.3997833,,17,12,3,0,0,0,0
-2.2639186,53.401581,,217,1899,38,0,0,0,0
-2.263952,53.4069741,,13577,7373513,6,0,0,0,0
-2.2641192,53.4339394,,432080,2147483647,54,1,1,0,4
-2.2641527,53.4393324,,304554,2147483647,68,3,1,3,1
-2.2641806,53.4438266,,229490,2106626726,42,3,0,1,0
-2.2643314,53.4680953,,61470,151145296,27,0,1,0,0
-2.2643426,53.4698929,,55968,125297373,46,0,0,0,0
-2.2644656,53.4896673,,16807,11299176,58,0,0,0,0
-2.2645216,53.4986556,,8088,2617183,55,1,1,0,0
-2.2646225,53.5148345,,1405,78981,47,0,0,0,0
-2.1030268,53.418008,,0,0,43,0,0,0,0
-2.1030355,53.4216034,,0,0,74,0,0,0,0
-2.1030486,53.4269965,,0,0,72,0,0,0,0
-2.1030551,53.429693,,0,0,14,0,0,0,0
-2.1030769,53.4386815,,0,0,194,0,0,0,0
-2.10309,53.4440746,,0,0,33,0,0,0,0
-2.1030922,53.4449735,,0,0,3,0,0,0,0
-2.1045314,53.4180067,,0,0,61,0,0,0,0
-2.1045978,53.4449721,,0,0,45,0,0,0,0
-2.104611,53.4503652,,0,0,79,0,0,0,0
-2.1046443,53.4638479,,0,0,3,0,0,0,0
-2.1046886,53.4818248,,0,0,115,0,0,0,0
-2.1046975,53.4854201,,0,0,223,0,0,0,0
-2.1047175,53.4935097,,0,0,82,0,0,0,0
-2.1047263,53.4971051,,0,0,71,0,0,0,0
-2.1047286,53.4980039,,0,0,121,0,0,0,0
-2.1047419,53.5033969,,0,0,82,0,0,0,0
-2.1047441,53.5042958,,0,0,14,0,0,0,0
-2.1047708,53.5150818,,0,0,84,0,0,0,0
-2.1047841,53.5204748,,0,0,86,0,0,0,0
-2.1047886,53.5222725,,0,0,43,0,0,0,0
-2.104793,53.5240702,,0,0,87,0,0,0,0
-2.1048175,53.5339574,,0,0,3,0,0,0,0
-2.1048286,53.5384515,,0,0,201,0,0,0,0
-2.104862,53.551934,,0,0,59,0,0,0,0
-2.1048798,53.5591247,,0,0,26,0,0,0,0
-2.1048865,53.5618212,,0,0,43,0,0,0,0
-2.1048887,53.56272,,0,0,79,0,0,0,0
-2.2624367,53.4051797,,2299,211446,70,0,0,0,0
-2.1030944,53.4458723,,0,0,27,0,0,0,0
-2.1031184,53.4557596,,0,0,59,0,0,0,0
-2.1032124,53.4944099,,0,0,45,0,0,0,0
-2.1032605,53.5141843,,0,0,97,0,0,0,0
-2.1032649,53.515982,,0,0,24,0,0,0,0
-2.1032715,53.5186785,,0,0,58,0,0,0,0
-2.1033307,53.542947,,0,0,2,0,0,0,0
-2.1033395,53.5465423,,0,0,120,0,0,0,0
-2.1033417,53.5474412,,0,0,39,0,0,0,0
-2.1033505,53.5510365,,0,0,22,0,0,0,0
-2.1033526,53.5519353,,0,0,9,0,0,0,0
-2.1033702,53.559126,,0,0,30,0,0,0,0
-2.2624422,53.4060786,,4287,735439,25,0,0,0,0
-2.262481,53.4123705,,122450,599769079,17,0,0,0,0
-2.2625364,53.4213589,,592530,1158787770,93,6,6,7,6
-2.2625531,53.4240555,,624761,2147483647,35,1,1,4,0
-2.2626418,53.4384369,,341214,362116686,68,2,1,2,0
-2.262664,53.4420323,,276676,2147483647,74,2,1,3,2
-2.2626751,53.44383,,249405,2147483647,21,0,1,0,0
-2.2627028,53.4483242,,193666,1500275493,46,0,2,1,3
-2.2627695,53.4591102,,109797,482223215,192,0,4,3,3
-2.2628028,53.4645032,,83638,279815647,65,0,0,0,1
-2.2628473,53.4716939,,57831,133777834,200,2,3,3,0
-2.2630309,53.5013554,,7287,2124178,56,0,0,0,0
-2.2630699,53.5076472,,3835,588512,77,0,0,0,0
-2.2631144,53.5148379,,1642,107920,31,0,0,0,0
-2.2631423,53.519332,,905,32771,208,0,0,0,0
-2.2632371,53.5346121,,79,253,3,0,0,0,0
-2.2609546,53.4087784,,13374,7155492,47,0,0,0,0
-2.2610152,53.4186657,,355506,760437897,41,2,1,2,0
-2.2610427,53.4231599,,513723,1966521415,25,3,0,5,1
-2.2612027,53.4492263,,200995,1615974656,37,1,0,0,2
-2.2614182,53.4842809,,31771,40377356,136,1,0,1,0
-2.2615178,53.5004599,,9120,3327536,48,0,0,0,0
-2.2615843,53.5112459,,2957,349796,42,0,0,0,0
-2.1015372,53.4243012,,0,0,98,0,0,0,0
-2.1015415,53.4260989,,0,0,17,0,0,0,0
-2.101548,53.4287955,,0,0,57,0,0,0,0
-2.1016749,53.4818274,,0,0,68,0,0,0,0
-2.1017007,53.4926135,,0,0,132,0,0,0,0
-2.1017353,53.5069949,,0,0,35,0,0,0,0
-2.1017763,53.5240728,,0,0,63,0,0,0,0
-2.1018693,53.5627226,,0,0,50,0,0,0,0
-2.1018801,53.5672167,,0,0,46,0,0,0,0
-2.1030878,53.4431758,,0,0,21,0,0,0,0
-2.1031031,53.4494677,,0,0,75,0,0,0,0
-2.1031293,53.4602538,,0,0,88,0,0,0,0
-2.1032146,53.4953087,,0,0,40,0,0,0,0
-2.1032233,53.4989041,,0,0,33,0,0,0,0
-2.1032759,53.5204762,,0,0,103,0,0,0,0
-2.1033044,53.532161,,0,0,3,0,0,0,0
-2.1033197,53.5384529,,0,0,206,0,0,0,0
-2.1033373,53.5456435,,0,0,49,0,0,0,0
-2.1000197,53.4189094,,0,0,20,0,0,0,0
-2.1000282,53.4225048,,0,0,49,0,0,0,0
-2.1000324,53.4243025,,0,0,45,0,0,0,0
-2.100079,53.4440772,,0,0,62,0,0,0,0
-2.1000896,53.4485714,,0,0,95,0,0,0,0
-2.1001129,53.4584587,,0,0,59,0,0,0,0
-2.1001723,53.4836263,,0,0,42,0,0,0,0
-2.1001956,53.4935136,,0,0,175,0,0,0,0
-2.100202,53.4962101,,0,0,104,0,0,0,0
-2.1002126,53.5007043,,0,0,62,0,0,0,0
-2.1002573,53.5195799,,0,0,72,0,0,0,0
-2.1002658,53.5231752,,0,0,33,0,0,0,0
-2.1002956,53.5357589,,0,0,295,0,0,0,0
-2.1003211,53.5465449,,0,0,3,0,0,0,0
-2.2595106,53.418669,,253148,2147483647,87,2,3,2,3
-2.259516,53.4195678,,290272,2147483647,51,2,1,2,3
-2.2595928,53.4321516,,449277,2147483647,34,1,2,1,3
-2.2595982,53.4330505,,438350,2147483647,114,4,2,7,3
-2.2596037,53.4339493,,426317,2147483647,84,2,4,1,6
-2.2596311,53.4384435,,358486,845533041,53,4,1,0,1
-2.2596641,53.4438366,,280028,2147483647,24,0,2,1,1
-2.2596805,53.4465331,,246107,2147483647,67,3,0,1,1
-2.2597299,53.4546226,,166834,1113343538,35,0,0,0,1
-2.2597574,53.4591168,,134690,725659332,100,1,1,1,2
-2.2598068,53.4672063,,91347,333777113,93,1,2,0,1
-2.2598233,53.4699029,,79944,255643768,82,0,2,0,0
-2.2599002,53.4824865,,40158,64508841,62,0,0,0,0
-2.2599167,53.485183,,33913,46004137,68,1,0,0,0
-2.2599277,53.4869807,,30130,36314648,6,0,0,0,0
-2.2600819,53.512148,,3070,377046,17,0,0,0,0
-2.1015308,53.4216047,,0,0,100,0,0,0,0
-2.1015351,53.4234024,,0,0,65,0,0,0,0
-2.101563,53.4350874,,0,0,20,0,0,0,0
-2.1015716,53.4386828,,0,0,40,0,0,0,0
-2.1015823,53.4431771,,0,0,30,0,0,0,0
-2.1015931,53.4476713,,0,0,77,0,0,0,0
-2.1015995,53.4503678,,0,0,84,0,0,0,0
-2.1016103,53.4548621,,0,0,78,0,0,0,0
-2.1016232,53.4602551,,0,0,18,0,0,0,0
-2.1017158,53.4989054,,0,0,2,0,0,0,0
-2.1017245,53.5025007,,0,0,42,0,0,0,0
-2.1017547,53.5150844,,0,0,11,0,0,0,0
-2.1017698,53.5213763,,0,0,22,0,0,0,0
-2.1018433,53.5519366,,0,0,24,0,0,0,0
