x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,259610,2147483647,22,0,1,1,0
-2.2655963,53.4294419,8685600517058320102,,45096,81347306,38,0,1,0,0
-2.263952,53.4069741,-2540649673480081690,,92909,345290225,6,0,1,0,0
-2.2624422,53.4060786,-8688582507733682458,,34675,48095755,25,0,0,0,1
-2.262481,53.4123705,-794175671944787226,,424310,2147483647,17,1,0,4,2
-2.2625364,53.4213589,-5441153801290022170,,272093,2147483647,93,2,3,3,6
-2.2625531,53.4240555,-5944133414741826842,,174864,1223108259,35,0,3,0,0
-2.2609546,53.4087784,-6054602705832647962,,101632,413164588,47,1,0,0,1
-2.2610152,53.4186657,5173944745410239206,,386499,1680317207,41,1,4,1,1
-2.2610427,53.4231599,-97734301553612058,,223928,2005758072,25,0,2,1,0
-2.2595106,53.418669,1878073865649755878,,365187,1039503694,87,1,4,4,5
-2.259516,53.4195678,-6359262275304227098,,345527,480601523,51,4,3,3,2
-2.2595928,53.4321516,-3186463172877651226,,63583,161712249,34,0,1,0,2
-2.2595982,53.4330505,4728380058564737766,,55483,123136442,114,1,1,1,1
-2.2596037,53.4339493,-4347429581144011034,,48469,93972094,84,0,0,0,1
-2.2580223,53.4213688,-4182704147092003098,,291668,2147483647,80,2,3,1,0
-2.2580277,53.4222676,-5187000936324133146,,269907,2147483647,38,0,1,1,2
-2.258104,53.4348514,4541397942516936422,,50404,101624234,97,1,0,1,1
-2.2581258,53.4384468,2641711967522112230,,30432,37046150,22,0,0,0,1
-2.2581586,53.4438398,4768270369095828198,,14870,8844887,28,0,1,0,0
-2.256588,53.433057,3189310789920967398,,75345,227080105,21,0,1,0,1
-2.2549375,53.4087914,4616863920785016550,,24257,23537553,115,1,0,0,1
-2.2520141,53.4231793,8175066055979878118,,219749,1931592270,25,0,1,0,1
-2.250504,53.4222837,2470063413266779878,,200711,1611408960,35,1,0,1,1
-2.2489572,53.4150961,-5300423288364413210,,67226,180774602,119,1,0,0,1
-2.2490098,53.4240845,-8275522262796308762,,186631,1393247692,40,1,0,2,0
-2.2490518,53.4312752,8508474655642063590,,137427,755454251,125,2,0,2,3
-2.2474736,53.4186946,-6605711644699559194,,108995,475197750,35,1,0,0,2
-2.2474893,53.4213911,-6638174946424823066,,148216,878720529,18,0,1,0,0
-2.2475468,53.4312784,-6467714298833766682,,140124,785397203,92,2,1,1,1
-2.2475625,53.4339749,4427247138321140454,,114814,527292367,8,0,0,1,0
-2.2476933,53.4564459,-7653867988964343066,,11439,5234135,97,0,0,1,0
-2.245995,53.4231919,8072546588513412838,,146256,855633671,108,0,0,1,1
-2.2460469,53.4321803,-4748077364415549722,,133840,716526193,45,1,0,1,4
-2.2444747,53.4204985,-3364574189870694682,,96823,374988291,62,0,0,1,0
-2.2445521,53.4339811,1769455742939329254,,121638,591837668,97,0,2,0,3
-2.2430829,53.4402761,-7297340031951181082,,80746,260802498,55,0,0,1,1
-2.2431343,53.4492645,17445471515811558,,36072,52049960,87,0,1,0,0
-2.2432114,53.4627471,-8584255067675725082,,9023,3257174,72,1,0,0,0
-2.2414602,53.4196057,7480125240017999590,,57639,132891732,120,0,1,0,2
-2.2414959,53.4258976,2284183142951257830,,119290,569213198,145,0,2,2,3
-2.2415061,53.4276953,5430031713043068646,,128686,662408296,67,0,1,0,1
-2.2415265,53.4312907,-8101132867654452506,,131463,691305275,58,1,2,3,0
-2.2415673,53.4384814,8680781882765783782,,96451,372115269,75,1,1,1,0
-2.2415826,53.441178,2134388145120086758,,79768,254520556,46,1,0,1,1
-2.2417563,53.4717385,-8856656228966394138,,3715,552098,456,1,0,0,1
-2.2417717,53.474435,-5335441571831362842,,2651,281225,361,0,1,0,0
-2.239991,53.4259007,-7923449936269307162,,106144,450668438,121,2,1,0,1
-2.2400113,53.4294961,8670404234424253158,,123790,612964473,74,1,3,0,1
-2.2400214,53.4312937,5567086842704958182,,125502,630031227,51,1,1,1,0
-2.240062,53.4384845,-4556176508422569242,,99227,393846496,87,1,1,1,0
-2.2401178,53.4483717,-410353829836573978,,47700,91012758,91,0,0,1,0
-2.2401584,53.4555625,8135992453152823014,,24640,24286275,219,0,1,0,0
-2.2402244,53.4672474,3722726391797553894,,7297,2130176,209,0,1,0,0
-2.2402549,53.4726404,-4165283725814934810,,3872,599897,391,0,1,0,0
-2.2385668,53.4402852,-8913844776342746394,,91911,337909571,73,0,0,1,2
-2.2387635,53.4753399,-2367741057041241370,,3210,412165,475,0,0,0,1
-2.2369563,53.4214125,-3668883471361385754,,45195,81705964,33,1,0,0,0
-2.2369863,53.4268055,8824827080546263782,,89045,317164583,12,1,0,0,1
-2.2370614,53.4402882,5088858815127454438,,93959,353138729,84,0,0,2,3
-2.2370864,53.4447824,-5084443102995850522,,72263,208883128,47,1,0,1,1
-2.2373121,53.4852301,1488031795549406950,,950,36156,88,0,0,1,0
-2.2356157,53.4510773,9004721890016331494,,48640,94637075,125,0,1,0,2
-2.2357503,53.4753459,-4785219550146097434,,4271,729817,640,0,0,1,0
-2.2672142,53.4474153,8694117606224232166,,2452,240582,207,0,0,0,1
-2.280516,53.4096329,-6273292361791023386,,240562,2147483647,5,0,0,0,1
-2.2789999,53.4078387,125028254233245414,,1824960,75238032,20,3,6,5,4
-2.2790235,53.4114341,1397196653590858470,,229334,2103775609,47,3,0,2,0
-2.2775074,53.4096399,4947301433501199078,,1097561,940989828,82,9,8,8,5
-2.2760031,53.4096434,-8820616222601541914,,1692867,2147483647,58,9,6,6,10
-2.2760206,53.4123399,5726773707050736358,,484962,817628663,73,3,4,3,5
-2.2763122,53.4572819,-5085592797082956058,,163,1068,89,1,0,0,0
-2.2744872,53.4078492,5587628396275936998,,3634835,200293197,46,9,12,14,19
-2.274493,53.408748,-154122749003444506,,2852887,2147483647,56,10,17,10,12
-2.2746959,53.4402075,-7173369861790438682,,1524,92952,89,0,0,0,1
-2.2730118,53.4123469,-3201484322756805914,,915285,2147483647,77,5,6,6,7
-2.2715074,53.4123503,-2913805330674472218,,1041374,428735266,69,7,5,3,8
-2.2717081,53.4438097,-1287406204744597786,,1734,120274,125,1,0,0,0
-2.270003,53.4123537,8289595978423360230,,1062183,2147483647,49,3,1,5,4
-2.2685836,53.4258398,2388967691014491878,,54846,120324502,77,0,2,0,0
-2.268595,53.4276374,-6879806262695526682,,38104,58077579,34,0,0,0,1
-2.2686006,53.4285363,-116449878521627930,,31987,40927010,53,0,1,0,1
-2.2669829,53.4105628,-1058014846724639002,,801129,2147483647,5,0,0,0,1
-2.2654394,53.4042742,5306168693943067366,,21735,18896900,45,0,0,1,0
-2.2654506,53.4060719,191947070037925606,,83585,279463235,34,1,0,0,0
